id,"name",score,character,appointment,history,stickiness,relations,"analyze"
18372,"abc",587,0.6916,0.65,0.6,0.81,0.62,NULL
19338,"abc",565,0.538,0.65,0.6,0.81,0.62,NULL
19471,"abc",569,0.5336,0.65,0.6,0.81,0.56,NULL
19477,"abc",599,0.5636,0.65,0.6,0.81,0.62,NULL
20013,"abc",483,0.39,0.51,0.4,0.81,0.7,NULL
20534,"abc",560,0.636,0.65,0.6,0.81,0.56,NULL
20784,"abc",563,0.4056,0.65,0.6,0.81,0.56,NULL
20967,"abc",448,0.4964,0.51,0.4,0.57,0.58,NULL
21665,"abc",608,0.53,0.77,0.6,0.81,0.66,NULL
21720,"abc",585,0.6488,0.65,0.6,0.81,0.56,NULL
21917,"abc",565,0.47,0.65,0.6,0.81,0.74,NULL
22494,"abc",474,0.3,0.51,0.4,0.81,0.52,NULL
22941,"abc",483,0.33,0.51,0.4,0.81,0.58,NULL
23404,"abc",598,0.6148,0.65,0.6,0.81,0.62,NULL
26136,"abc",422,0.33,0.51,0.4,0.57,0.58,NULL
27083,"abc",442,0.33,0.51,0.4,0.57,0.58,NULL
28978,"abc",496,0.51,0.63,0.4,0.57,0.74,NULL
29129,"abc",413,0.33,0.51,0.4,0.57,0.58,NULL
29187,"abc",430,0.33,0.51,0.4,0.57,0.58,NULL
29396,"abc",475,0.4452,0.51,0.4,0.57,0.58,NULL
29607,"abc",413,0.33,0.51,0.4,0.57,0.58,NULL
30071,"abc",523,0.51,0.63,0.4,0.57,0.74,NULL
30242,"abc",487,0.45,0.63,0.4,0.57,0.62,NULL
31600,"abc",468,0.5012,0.63,0.4,0.57,0.62,NULL
32100,"abc",411,0.33,0.51,0.4,0.57,0.58,NULL
32161,"abc",491,0.45,0.63,0.4,0.57,0.62,NULL
32410,"abc",465,0.45,0.63,0.4,0.57,0.62,NULL
32529,"abc",434,0.33,0.51,0.4,0.57,0.58,NULL
32534,"abc",466,0.4584,0.63,0.4,0.57,0.56,NULL
33036,"abc",508,0.51,0.63,0.4,0.57,0.74,NULL
33218,"abc",454,0.33,0.51,0.4,0.57,0.58,NULL
33520,"abc",493,0.6372,0.51,0.4,0.57,0.58,NULL
33673,"abc",500,0.6376,0.63,0.4,0.57,0.56,NULL
34827,"abc",467,0.45,0.63,0.4,0.57,0.62,NULL
35453,"abc",492,0.45,0.63,0.4,0.57,0.62,NULL
35499,"abc",495,0.45,0.63,0.4,0.57,0.62,NULL
35595,"abc",473,0.42,0.63,0.4,0.57,0.56,NULL
36644,"abc",428,0.33,0.51,0.4,0.57,0.58,NULL
