"id","name","score","character","appointment","history","stickiness","relations","analyze"
250485,"abc",692,0.8392,0.72,0.7,0.81,0.76,NULL
262525,"abc",692,0.916,0.72,0.7,0.81,0.76,NULL
1592120,"abc",679,0.9,0.72,0.7,0.81,0.64,NULL
1762380,"abc",677,0.9,0.72,0.7,0.81,0.64,NULL
835639,"abc",673,0.7976,0.72,0.7,0.81,0.64,NULL
1748491,"abc",670,0.66,0.72,0.7,0.81,0.76,NULL
966739,"abc",670,0.8944,0.65,0.6,0.81,0.74,NULL
555196,"abc",670,0.66,0.72,0.7,0.81,0.76,NULL
1593184,"abc",667,0.66,0.72,0.7,0.81,0.76,NULL
1045224,"abc",667,0.66,0.72,0.7,0.81,0.76,NULL
560168,"abc",666,0.66,0.72,0.7,0.81,0.76,NULL
1762534,"abc",666,0.66,0.72,0.7,0.81,0.76,NULL
686854,"abc",665,0.92,0.65,0.6,0.81,0.74,NULL
1644674,"abc",665,0.66,0.72,0.7,0.81,0.76,NULL
815281,"abc",665,0.66,0.72,0.7,0.81,0.76,NULL
554967,"abc",665,0.66,0.72,0.7,0.81,0.76,NULL
417210,"abc",662,0.8304,0.65,0.6,0.81,0.74,NULL
943837,"abc",662,0.66,0.72,0.7,0.81,0.76,NULL
1761872,"abc",661,0.66,0.72,0.7,0.81,0.76,NULL
1182622,"abc",660,0.66,0.72,0.7,0.81,0.76,NULL
423856,"abc",660,0.66,0.72,0.7,0.81,0.76,NULL
1769292,"abc",658,0.66,0.72,0.7,0.81,0.76,NULL
1661065,"abc",658,0.92,0.65,0.6,0.81,0.74,NULL
638499,"abc",657,0.8816,0.65,0.6,0.81,0.74,NULL
1673580,"abc",657,0.66,0.72,0.7,0.81,0.76,NULL
1648738,"abc",656,0.66,0.72,0.7,0.81,0.76,NULL
416788,"abc",653,0.8944,0.65,0.6,0.81,0.74,NULL
1753084,"abc",653,0.66,0.72,0.7,0.81,0.76,NULL
1746919,"abc",650,0.6696,0.72,0.7,0.81,0.64,NULL
130926,"abc",649,0.8944,0.65,0.6,0.81,0.74,NULL
132488,"abc",648,0.856,0.65,0.6,0.81,0.74,NULL
1762834,"abc",647,0.66,0.72,0.7,0.81,0.76,NULL
439309,"abc",644,0.8272,0.65,0.6,0.81,0.62,NULL
1753606,"abc",643,0.66,0.72,0.7,0.81,0.76,NULL
1647009,"abc",643,0.66,0.72,0.7,0.81,0.76,NULL
1825636,"abc",641,0.8432,0.65,0.6,0.81,0.74,NULL
1750458,"abc",641,0.66,0.72,0.7,0.81,0.76,NULL
372234,"abc",640,0.66,0.72,0.7,0.81,0.76,NULL
1616467,"abc",640,0.9072,0.65,0.6,0.81,0.74,NULL
1855541,"abc",639,0.836,0.72,0.7,0.81,0.64,NULL
178761,"abc",639,0.8272,0.65,0.6,0.81,0.62,NULL
1816758,"abc",639,0.8272,0.65,0.6,0.81,0.62,NULL
1609414,"abc",639,0.84,0.65,0.6,0.81,0.62,NULL
138489,"abc",639,0.7888,0.65,0.6,0.81,0.62,NULL
1819652,"abc",638,0.84,0.65,0.6,0.81,0.62,NULL
125248,"abc",638,0.92,0.65,0.6,0.81,0.74,NULL
626527,"abc",638,0.8016,0.65,0.6,0.81,0.62,NULL
658272,"abc",638,0.8272,0.65,0.6,0.81,0.62,NULL
1678785,"abc",638,0.8016,0.65,0.6,0.81,0.62,NULL
1591240,"abc",638,0.9,0.72,0.7,0.57,0.64,NULL
1750819,"abc",637,0.66,0.72,0.7,0.81,0.76,NULL
935564,"abc",637,0.836,0.72,0.7,0.81,0.64,NULL
250515,"abc",637,0.8104,0.72,0.7,0.81,0.64,NULL
1651642,"abc",637,0.66,0.72,0.7,0.81,0.76,NULL
1714640,"abc",637,0.66,0.72,0.7,0.81,0.76,NULL
819564,"abc",636,0.58,0.72,0.7,0.81,0.64,NULL
430457,"abc",636,0.84,0.65,0.6,0.81,0.62,NULL
1655751,"abc",636,0.66,0.72,0.7,0.81,0.76,NULL
1662445,"abc",636,0.7888,0.65,0.6,0.81,0.62,NULL
190995,"abc",635,0.8944,0.65,0.6,0.57,0.74,NULL
1661815,"abc",635,0.66,0.72,0.7,0.81,0.76,NULL
258504,"abc",635,0.8016,0.65,0.6,0.81,0.62,NULL
1765078,"abc",635,0.8272,0.65,0.6,0.81,0.62,NULL
251375,"abc",635,0.8016,0.65,0.6,0.81,0.62,NULL
1722352,"abc",635,0.8272,0.65,0.6,0.81,0.62,NULL
1651601,"abc",634,0.58,0.72,0.7,0.81,0.64,NULL
1767863,"abc",634,0.66,0.72,0.7,0.81,0.76,NULL
138543,"abc",632,0.8144,0.65,0.6,0.81,0.62,NULL
1660330,"abc",632,0.58,0.72,0.7,0.81,0.64,NULL
940241,"abc",632,0.7504,0.65,0.6,0.81,0.62,NULL
1763321,"abc",632,0.66,0.72,0.7,0.81,0.76,NULL
965139,"abc",631,0.7504,0.65,0.6,0.81,0.62,NULL
1726819,"abc",631,0.66,0.72,0.7,0.81,0.76,NULL
1598314,"abc",631,0.58,0.72,0.7,0.81,0.64,NULL
1063020,"abc",631,0.6936,0.72,0.7,0.81,0.58,NULL
807258,"abc",630,0.58,0.72,0.7,0.81,0.64,NULL
967620,"abc",630,0.8272,0.65,0.6,0.81,0.62,NULL
1658857,"abc",630,0.58,0.72,0.7,0.81,0.64,NULL
566880,"abc",629,0.66,0.72,0.7,0.81,0.76,NULL
1042089,"abc",629,0.66,0.72,0.7,0.57,0.76,NULL
728810,"abc",629,0.92,0.65,0.6,0.57,0.74,NULL
640277,"abc",628,0.8144,0.65,0.6,0.81,0.62,NULL
635687,"abc",628,0.6,0.65,0.6,0.81,0.74,NULL
1644404,"abc",628,0.58,0.72,0.7,0.81,0.64,NULL
986255,"abc",628,0.6,0.65,0.6,0.81,0.74,NULL
1715890,"abc",628,0.6,0.65,0.6,0.81,0.74,NULL
173495,"abc",628,0.7888,0.65,0.6,0.81,0.62,NULL
815544,"abc",628,0.6,0.65,0.6,0.81,0.74,NULL
423882,"abc",628,0.6,0.65,0.6,0.81,0.74,NULL
1180921,"abc",628,0.66,0.72,0.7,0.57,0.76,NULL
418052,"abc",627,0.66,0.72,0.7,0.81,0.76,NULL
1512722,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
377883,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
1669933,"abc",627,0.7064,0.72,0.7,0.81,0.58,NULL
788025,"abc",627,0.66,0.72,0.7,0.57,0.76,NULL
986982,"abc",627,0.8144,0.65,0.6,0.81,0.62,NULL
1594770,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
566453,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
144568,"abc",627,0.7888,0.65,0.6,0.81,0.62,NULL
434109,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
1716461,"abc",627,0.6,0.65,0.6,0.81,0.74,NULL
1783333,"abc",626,0.6,0.65,0.6,0.81,0.74,NULL
1636039,"abc",626,0.6,0.65,0.6,0.81,0.74,NULL
647411,"abc",626,0.9,0.72,0.7,0.57,0.64,NULL
940084,"abc",625,0.66,0.72,0.7,0.81,0.76,NULL
1763248,"abc",625,0.6,0.65,0.6,0.81,0.74,NULL
1762916,"abc",624,0.58,0.72,0.7,0.81,0.64,NULL
690332,"abc",624,0.664,0.65,0.6,0.81,0.74,NULL
1664221,"abc",624,0.7888,0.65,0.6,0.81,0.62,NULL
552719,"abc",623,0.8272,0.65,0.6,0.81,0.62,NULL
727882,"abc",623,0.8688,0.65,0.6,0.57,0.74,NULL
522603,"abc",623,0.8104,0.72,0.7,0.57,0.64,NULL
1617518,"abc",623,0.6696,0.72,0.7,0.81,0.64,NULL
565700,"abc",623,0.6,0.65,0.6,0.81,0.74,NULL
652245,"abc",623,0.6,0.65,0.6,0.81,0.74,NULL
1766872,"abc",623,0.6,0.65,0.6,0.81,0.74,NULL
1720045,"abc",623,0.6,0.65,0.6,0.81,0.74,NULL
933104,"abc",623,0.776,0.65,0.6,0.81,0.62,NULL
564734,"abc",623,0.6,0.65,0.6,0.81,0.74,NULL
1760563,"abc",622,0.6,0.65,0.6,0.81,0.74,NULL
631864,"abc",622,0.712,0.65,0.6,0.81,0.62,NULL
170588,"abc",622,0.6,0.65,0.6,0.81,0.74,NULL
1775266,"abc",622,0.58,0.72,0.7,0.81,0.64,NULL
606968,"abc",622,0.6,0.65,0.6,0.81,0.74,NULL
527892,"abc",621,0.9072,0.65,0.6,0.57,0.74,NULL
145965,"abc",621,0.6,0.65,0.6,0.81,0.74,NULL
142401,"abc",621,0.6,0.65,0.6,0.81,0.74,NULL
1760378,"abc",621,0.58,0.72,0.7,0.81,0.64,NULL
630149,"abc",621,0.6,0.65,0.6,0.81,0.74,NULL
684210,"abc",621,0.66,0.72,0.7,0.57,0.76,NULL
623842,"abc",621,0.8272,0.65,0.6,0.81,0.62,NULL
767281,"abc",620,0.66,0.72,0.7,0.57,0.76,NULL
127339,"abc",620,0.6,0.65,0.6,0.81,0.74,NULL
1702048,"abc",620,0.6,0.65,0.6,0.81,0.74,NULL
20534,"abc",619,0.736,0.65,0.6,0.81,0.56,NULL
1748564,"abc",619,0.58,0.72,0.7,0.81,0.64,NULL
765040,"abc",619,0.66,0.72,0.7,0.57,0.76,NULL
415635,"abc",619,0.6,0.65,0.6,0.81,0.74,NULL
686561,"abc",619,0.6,0.65,0.6,0.81,0.74,NULL
688361,"abc",619,0.8,0.65,0.6,0.81,0.56,NULL
144134,"abc",618,0.7504,0.65,0.6,0.81,0.62,NULL
728403,"abc",618,0.8872,0.72,0.7,0.57,0.64,NULL
