,id,per_num,year,ID_card,level,breed_year,equip_breed,land_year,land_size,channel,channel_num,sale_income,county_id,town_id,village_id,helper_unit,plan_time,help_industry,industrial_scale,tech_project,income,out_poverty,status
1,1313985,3,2017,37,1,,,,,,,,510823000000,510823212000,510823212205,,未脱贫,,,,1089.7290192113246,1313985,-1
2,127339,1,2014,69,2,,,,,,,,510821000000,510821100000,510821100217,旺苍县东河镇农业推广服务站,2018,养殖、核桃、中药材等,,四川省科技厅、县委、政府给与的科技项目,2600.0,127339,1
3,571526,2,2016,49,3,,,,,,,,511324000000,511324100000,511324100205,,2017,,,,1089.7290192113246,571526,1
4,182756,3,2016,79,1,,,,,,,,513429000000,513429218000,513429218208,,,,,,1089.7290192113246,182756,1
5,1502275,3,2014,11,1,,,,,,,,511724000000,511724205000,511724205200,,,,,,1089.7290192113246,1502275,1
6,1731543,2,2017,75,2,,,,,,,,511902000000,511902203000,511902203201,,,,,,1089.7290192113246,1731543,1
7,500884,6,2017,36,1,,,,,,,,511129000000,511129102000,511129102200,,,,,,1089.7290192113246,500884,1
8,741489,3,2017,50,1,,,,,,,,511722000000,511722112000,511722112201,,,,,,3646.0,741489,1
9,144520,6,2016,43,2,,,,,,,,510821000000,510821214000,510821214201,旺苍县大两乡农技站,2018,养殖、核桃、中药材等,,四川省科技厅、县委、政府给与的科技项目,2850.0,144520,1
10,1358805,3,2014,52,1,,,,,,,,510823000000,510823210000,510823210208,,2014年,,,,1089.7290192113246,1358805,-1
11,752637,5,2017,50,1,,,,,,,,511722000000,511722115000,511722115205,,,,,,2156.0,752637,1
12,96092,5,2015,52,1,,,,,,,,511923000000,511923214000,511923214203,,,,,,1089.7290192113246,96092,1
13,1014453,5,2017,46,3,,,,,,,,510904000000,510904201000,510904201209,,,,,,1089.7290192113246,1014453,1
14,1346827,4,2017,70,1,,,,,,,,510823000000,510823100000,510823100210,,未脱贫,,,,1089.7290192113246,1346827,-1
15,598956,4,2015,30,2,,,,,,,,513422000000,513422218000,513422218202,,,,,,3460.0,598956,1
16,892020,6,2015,27,1,,,,,,,,511921000000,511921102000,511921102203,,,,,,3216.0,892020,1
17,77813,2,2015,69,1,,,,,,,,511923000000,511923113000,511923113208,,,,,,1089.7290192113246,77813,1
18,769571,4,2017,50,1,,,,,,,,511722000000,511722107000,511722107217,,,,,,2625.0,769571,1
19,120827,4,2014,42,2,,,,,,,,511321000000,511321210000,511321210205,,,,,,1089.7290192113246,120827,1
20,800779,4,2017,17,1,,,,,,,,513436000000,513436229000,513436229208,,,,,,2487.0,800779,1
21,1421487,1,2017,60,1,,,,,,,,510823000000,510823202000,510823202209,,未脱贫,,,,1089.7290192113246,1421487,1
22,1783333,2,2015,58,1,,,,,,,,511525000000,511525108000,511525108213,来复镇中学,2017,养猪、查漏补缺资金房屋整治,4,,2130.0,1783333,1
23,1837944,5,2017,13,3,,,,,,,,510522000000,510522102000,510522102204,,,,,,1089.7290192113246,1837944,1
24,622192,5,2015,38,1,,,,,,,,513334000000,513334219000,513334219203,农牧和科技局,,,,,1800.0,622192,1
25,1291194,2,2014,54,1,,,,,,,,510823000000,510823115000,510823115207,,2014年,,,,1089.7290192113246,1291194,-1
26,1859180,2,2017,12,3,,,,,,,,510522000000,510522100000,510522100212,,,,,,1089.7290192113246,1859180,1
27,1507442,3,2014,76,1,,,,,,,,511724000000,511724100000,511724100201,,,,,,1089.7290192113246,1507442,1
28,547633,4,2014,50,3,,,,,,,,511324000000,511324101000,511324101227,,,,,,1089.7290192113246,547633,1
29,29396,3,2014,29,2,,,,,,,,510824000000,510824208000,510824208201,,,,,,1089.7290192113246,29396,1
30,1593184,1,2017,81,1,,,,,,,,511602000000,511602214000,511602214205,区教科体局,2018,养殖,鸭,,5150.0,1593184,1
31,1191531,6,2016,68,2,,,,,,,,513332000000,513332217000,513332217206,,,,,,3642.0,1191531,1
32,1613654,4,2016,54,1,,,,,,,,511723000000,511723206000,511723206202,,,种养殖,,,2950.0,1613654,1
33,1621585,3,2017,51,1,,,,,,,,511921000000,511921100000,511921100216,,,种养殖业,,,1089.7290192113246,1621585,1
34,520647,4,2016,65,2015年,,,,,,,,510522000000,510522101000,510522101210,,,,,,1089.7290192113246,520647,1
35,197804,4,2016,48,1,,,,,,,,513429000000,513429206000,513429206207,,,,,,1089.7290192113246,197804,1
36,763658,4,2017,53,1,,,,,,,,511722000000,511722206000,511722206202,,,,,,2955.0,763658,1
37,452828,4,2016,17,2016年,,,,,,,,510522000000,510522206000,510522206206,,,,,,1089.7290192113246,452828,1
38,1298057,4,2015,44,1,,,,,,,,510823000000,510823120000,510823120210,,2015年,,,,1089.7290192113246,1298057,-1
39,54382,4,2014,66,2,,,,,,,,510824000000,510824109000,510824109209,,,,,,1089.7290192113246,54382,1
40,1362930,5,2017,56,1,,,,,,,,510823000000,510823113000,510823113205,,未脱贫,,,,1089.7290192113246,1362930,-1
41,1626688,6,2017,12,1,,,,,,,,511921000000,511921113000,511921113201,,,种养殖业,,,1089.7290192113246,1626688,1
42,737396,1,2017,67,1,,,,,,,,511722000000,511722118000,511722118202,,,,,,3680.0,737396,1
43,514129,3,2017,65,1,,,,,,,,511129000000,511129104000,511129104202,,,,,,1089.7290192113246,514129,1
44,619852,1,2016,63,1,,,,,,,,511703000000,511703213000,511703213219,,,,,,1089.7290192113246,619852,1
45,494635,5,2017,90,1,,,,,,,,511129000000,511129208000,511129208207,,,,,,1089.7290192113246,494635,1
46,1452896,4,2014,68,1,,,,,,,,511724000000,511724104000,511724104201,,,,,,1089.7290192113246,1452896,1
47,1431814,3,2017,55,1,,,,,,,,510823000000,510823211000,510823211205,,未脱贫,,,,1089.7290192113246,1431814,1
48,265134,4,2016,38,1,,,,,,,,513435000000,513435200000,513435200202,田坝畜牧兽医站（前进乡,2018,种养殖业,3亩核桃50只鹅,,2375.0,265134,1
49,1558415,2,2015,61,1,,,,,,,,511923000000,511923206000,511923206208,大石村村委会,2017,种养殖,小型,,1089.7290192113246,1558415,1
50,1742652,2,2017,77,2,,,,,,,,511902000000,511902104000,511902104002,,,,,,1089.7290192113246,1742652,1
51,260150,4,2016,52,1,,,,,,,,513435000000,513435101000,513435101219,农牧局,2017,种养殖业,2亩核桃50只鹅,,1920.0,260150,1
