id,id_,per_num,add_time,age,level,country_id,town_id,village_id,income,out_poverty,status
1,1313985,3,2017,37,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
2,127339,1,2014,69,2,5.11E+11,5.11E+11,5.11E+11,2600,0,1
3,571526,2,2016,49,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
4,182756,3,2016,79,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
5,1502275,3,2014,11,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
6,1731543,2,2017,75,2,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
7,500884,6,2017,36,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
8,741489,3,2017,50,1,5.12E+11,5.12E+11,5.12E+11,3646,0,1
9,144520,6,2016,43,2,5.11E+11,5.11E+11,5.11E+11,2850,0,1
10,1358805,3,2014,52,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
11,752637,5,2017,50,1,5.12E+11,5.12E+11,5.12E+11,2156,0,1
12,96092,5,2015,52,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
13,1014453,5,2017,46,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
14,1346827,4,2017,70,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
15,598956,4,2015,30,2,5.13E+11,5.13E+11,5.13E+11,3460,0,1
16,892020,6,2015,27,1,5.12E+11,5.12E+11,5.12E+11,3216,0,1
17,77813,2,2015,69,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
18,769571,4,2017,50,1,5.12E+11,5.12E+11,5.12E+11,2625,0,1
19,120827,4,2014,42,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
20,800779,4,2017,17,1,5.13E+11,5.13E+11,5.13E+11,2487,0,1
21,1421487,1,2017,60,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
22,1783333,2,2015,58,1,5.12E+11,5.12E+11,5.12E+11,2130,0,1
23,1837944,5,2017,13,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
24,622192,5,2015,38,1,5.13E+11,5.13E+11,5.13E+11,1800,0,1
25,1291194,2,2014,54,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
26,1859180,2,2017,12,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
27,1507442,3,2014,76,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
28,547633,4,2014,50,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
29,29396,3,2014,29,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
30,1593184,1,2017,81,1,5.12E+11,5.12E+11,5.12E+11,5150,0,1
31,1191531,6,2016,68,2,5.13E+11,5.13E+11,5.13E+11,3642,0,1
32,1613654,4,2016,54,1,5.12E+11,5.12E+11,5.12E+11,2950,0,1
33,1621585,3,2017,51,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
34,520647,4,2016,65,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
35,197804,4,2016,48,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
36,763658,4,2017,53,1,5.12E+11,5.12E+11,5.12E+11,2955,0,1
37,452828,4,2016,17,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
38,1298057,4,2015,44,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
39,54382,4,2014,66,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
40,1362930,5,2017,56,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
41,1626688,6,2017,12,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
42,737396,1,2017,67,1,5.12E+11,5.12E+11,5.12E+11,3680,0,1
43,514129,3,2017,65,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
44,619852,1,2016,63,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
45,494635,5,2017,90,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
46,1452896,4,2014,68,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
47,1431814,3,2017,55,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
48,265134,4,2016,38,1,5.13E+11,5.13E+11,5.13E+11,2375,0,1
49,1558415,2,2015,61,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
